Weekly CIS 4980 Spring 2025 Capstone Schedule with GSU Cybersecurity Team,,,,
Course Work During Week of:,,,,
,Assignment,Training Source,Method of Delivery,Presenter
,Weekly Review Session (03/26/2025): Overview of Prowler CSPM Tool on AWS Cloudshell,GSU Cybersecurity Team,Online Meeting,Jhonay Morgan
,Weekly Review Session (03/26/2025): Overview of Qualys Total Cloud CNAPP Tool on AWS,GSU Cybersecurity Team,Online Meeting,Nathan Barro & Hannah Patton
,Weekly Review Session (03/26/2025): Final Project Assignment,GSU Cybersecurity Team,Online Meeting,Schmohn Comar & Jhonay Morgan
"Sunday, 03/30/2025",Weekly Review Session: Final Project Preparation,GSU Cybersecurity Team,Online Meeting,"Schmohn Comar, Jhonay Morgan, Hannah Patton & Nathan Barro"
"Sunday, 04/06/2025",Weekly Review Session: Final Project Preparation,GSU Cybersecurity Team,Online Meeting,"Schmohn Comar, Jhonay Morgan, Hannah Patton & Nathan Barro"
"Sunday, 04/13/2025",Weekly Review Session (04/14/2025): Final Project Preparation,GSU Cybersecurity Team,Online Meeting,"Schmohn Comar, Jhonay Morgan, Hannah Patton & Nathan Barro"
,Weekly Review Session (04/16/2025): Final Project Presentation - 1st Draft Due,N/A,Online Meeting,Capstone Students
"Sunday, 04/20/2025",Weekly Review Session (04/21/2025): Final Project Preparation,GSU Cybersecurity Team,Online Meeting,"Schmohn Comar, Jhonay Morgan, Hannah Patton & Nathan Barro"
,Weekly Review Session (04/23/2025): Final Project Presentation - 2nd Draft Due,N/A,Online Meeting,Capstone Students
"Sunday, 04/27/2025",Weekly Review Session (04/28/2025): Final Project Preparation,GSU Cybersecurity Team,Online Meeting,"Schmohn Comar, Jhonay Morgan, Hannah Patton & Nathan Barro"
,Weekly Review Session (04/30/2025): Final Project Presentation Due,Capstone Students,Online Meeting,Capstone Students
